date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-03-31,sell,2020-03-31 04:25:00,6417.6945475,6617.6945475,5717.6945475,closed,True,2020-03-31 13:40:00,6451.13,TimeExit,-33.43545249999988,-0.5182883076298217
2020-04-01,sell,2020-04-01 05:50:00,6310.4182125,6510.4182125,5610.4182125,closed,True,2020-04-01 13:40:00,6217.535,TimeExit,92.8832124999999,1.4938912688066797
2020-04-02,buy,2020-04-02 04:00:00,6641.23896,6441.23896,7341.23896,closed,True,2020-04-02 13:40:00,6650.09,TimeExit,8.851040000000467,0.13327392755042577
2020-04-03,sell,2020-04-03 04:10:00,6770.63299,7070.63299,6070.63299,closed,False,2020-04-03 13:40:00,6910.13,TimeExit,-139.49701000000005,-2.0187320643750506
2020-04-04,buy,2020-04-04 05:25:00,6744.25044,6544.25044,7444.25044,closed,True,2020-04-04 13:40:00,6746.205,TimeExit,1.9545600000001286,0.028981130184724258
2020-04-05,sell,2020-04-05 04:00:00,6788.748927500001,6988.748927500001,6088.748927500001,closed,True,2020-04-05 13:40:00,6816.76,TimeExit,-28.0110724999995,-0.4109147527564305
2020-04-06,buy,2020-04-06 04:00:00,6857.7621675,6657.7621675,7557.7621675,closed,True,2020-04-06 13:40:00,7100.305,TimeExit,242.54283250000026,3.5367635472902226
2020-04-07,sell,2020-04-07 04:20:00,7265.475445,7465.475445,6565.475445,closed,True,2020-04-07 13:40:00,7364.22,TimeExit,-98.74455500000022,-1.3408691619750668
2020-04-08,buy,2020-04-08 05:50:00,7394.240272499999,7194.240272499999,8094.240272499999,closed,True,2020-04-08 13:40:00,7267.615000000001,TimeExit,-126.62527249999857,-1.7124852294958859
2020-04-09,sell,2020-04-09 04:00:00,7259.718325000001,7459.718325000001,6559.718325000001,closed,True,2020-04-09 13:40:00,7335.985000000001,TimeExit,-76.26667499999985,-1.0396241949785834
2020-04-10,sell,2020-04-10 04:00:00,7159.288565,7359.288565,6459.288565,closed,True,2020-04-10 13:40:00,6904.755,TimeExit,254.53356499999973,3.6863518691104824
2020-04-11,buy,2020-04-11 04:00:00,6930.90372,6630.90372,7630.90372,closed,False,2020-04-11 13:40:00,6865.345,TimeExit,-65.55872,-0.9458899250154307
2020-04-12,sell,2020-04-12 04:05:00,6809.6684625,7009.6684625,6109.6684625,closed,True,2020-04-12 13:40:00,6910.58,TimeExit,-100.91153750000012,-1.460247005316484
2020-04-13,sell,2020-04-13 04:00:00,6671.592535000001,6971.592535000001,5971.592535000001,closed,False,2020-04-13 13:40:00,6692.08,TimeExit,-20.487464999999247,-0.30614495044887224
2020-04-14,buy,2020-04-14 04:05:00,6920.993767499999,6620.993767499999,7620.993767499999,closed,False,2020-04-14 13:40:00,6893.76,TimeExit,-27.233767499998976,-0.39349504442389716
2020-04-15,buy,2020-04-15 04:00:00,6925.891214999999,6625.891214999999,7625.891214999999,closed,False,2020-04-15 13:40:00,6725.8,TimeExit,-200.09121499999856,-2.8890320218522003
